model,task,load,count,latency_mean,latency_std,tps_mean,tps_std,gmem_peak_mean,gutil_mean,energy_j_mean,bartscore_mean
deepseek-r1:8b,qa,custom,1,19.444172620773315,0.0,45.83750380832257,0.0,6424.43359375,86.34444444444445,1634.6629792225367,-3.7397022247314453
gemma3:4b,qa,custom,1,14.589125871658325,0.0,79.96805937035812,0.0,7934.39453125,73.11764705882354,1068.3503388223648,-3.8822238445281982
qwen3:8b,qa,custom,1,108.38013410568237,0.0,14.277068262343885,0.0,8103.6328125,96.33197556008146,5180.9581556348785,-4.27036190032959
qwen3:4b,qa,custom,1,31.56495189666748,0.0,77.35987186470447,0.0,6297.71875,87.81632653061224,2831.6796278495804,-4.1583757400512695
deepseek-r1:8b,summary,custom,1,21.304397344589233,0.0,22.48730669377813,0.0,8094.3203125,85.73469387755102,1147.673556245804,-3.447384834289551
gemma3:4b,summary,custom,1,4.3308587074279785,0.0,83.02313177600746,0.0,7894.90625,37.1,166.93141131377217,-3.440948247909546
qwen3:8b,summary,custom,1,17.260125875473022,0.0,24.928116133788173,0.0,8085.07421875,83.0,947.1192911474706,-3.7062294483184814
qwen3:4b,summary,custom,1,50.93363428115845,0.0,74.4153172819976,0.0,6250.1015625,89.65677966101696,4694.7685268709665,-3.8105266094207764
deepseek-r1:8b,code,custom,1,57.87547564506531,0.0,18.764462949915124,0.0,8085.9140625,93.59469696969697,3084.317326381921,-4.462986469268799
gemma3:4b,code,custom,1,16.556578636169434,0.0,79.71081041088429,0.0,7884.10546875,76.66233766233766,1303.5237610473635,-4.685938835144043
qwen3:8b,code,custom,1,551.3827855587006,0.0,7.854339260194409,0.0,8087.82421875,98.47183673469388,21646.418585828305,-4.623388290405273
qwen3:4b,code,custom,1,85.44420552253723,0.0,69.53598566466385,0.0,6231.14453125,90.97979797979798,7776.007406869887,-4.4885945320129395
deepseek-r1:8b,creative,custom,1,44.79264259338379,0.0,21.0629933141658,0.0,8096.08203125,92.7156862745098,2522.6786027927405,
gemma3:4b,creative,custom,1,7.576509475708008,0.0,79.90870407194663,0.0,7843.08203125,59.31428571428572,463.3215109686852,
qwen3:8b,creative,custom,1,33.761613607406616,0.0,23.66466577984624,0.0,8100.39453125,88.8051948051948,1962.5203976295004,
qwen3:4b,creative,custom,1,24.293325662612915,0.0,78.25642398264083,0.0,6196.53125,86.41592920353982,2156.404157685042,
