timestamp,model,task,load,run,latency_s,toks_per_s,gpu_mem_peak_mb,gpu_util_avg,gpu_energy_j,bartscore,tps,latency,energy,norm_tps,norm_lat,norm_energy,quality_raw,norm_quality,efficiency_score,qe_ratio
20251210_145152,deepseek-r1:8b,qa,custom,1,19.444172620773315,45.83750380832257,6424.43359375,86.34444444444445,1634.6629792225367,-3.739702224731445,45.83750380832257,19.444172620773315,1634.6629792225367,0.48043780453981233,0.9482354775737046,0.8622984087894152,-3.739702224731445,1.0,0.7353352877248609,3.6772106312231894
20251210_145152,gemma3:4b,qa,custom,2,14.589125871658323,79.96805937035812,7934.39453125,73.11764705882354,1068.3503388223648,-3.8822238445281982,79.96805937035812,14.589125871658323,1068.3503388223648,1.0,1.0,1.0,-3.8822238445281982,0.7314255701903354,1.0,74.14255701903348
20251210_145152,qwen3:8b,qa,custom,3,108.38013410568236,14.277068262343883,8103.6328125,96.33197556008146,5180.958155634879,-4.27036190032959,14.277068262343883,108.38013410568236,5180.958155634879,0.0,0.0,0.0,-4.27036190032959,0.0,0.0,0.009900990099009901
20251210_145152,qwen3:4b,qa,custom,4,31.56495189666748,77.35987186470447,6297.71875,87.81632653061224,2831.6796278495804,-4.1583757400512695,77.35987186470447,31.56495189666748,2831.6796278495804,0.9602961157738501,0.8190036940145513,0.5712381613878544,-4.1583757400512695,0.21103197666582182,0.8011910029302618,1.0585366520006865
20251210_145152,deepseek-r1:8b,summary,custom,5,21.304397344589237,22.48730669377813,8094.3203125,85.73469387755102,1147.673556245804,-3.447384834289551,22.48730669377813,21.304397344589237,1147.673556245804,0.0,0.6357826668433655,0.7833972115378665,-3.447384834289551,0.9825839739272471,0.42575396351436956,1.6989143476228952
20251210_145152,gemma3:4b,summary,custom,6,4.3308587074279785,83.02313177600746,7894.90625,37.1,166.93141131377217,-3.440948247909546,83.02313177600746,4.3308587074279785,166.93141131377217,1.0,1.0,1.0,-3.440948247909546,1.0,1.0,100.99999999999991
20251210_145152,qwen3:8b,summary,custom,7,17.260125875473022,24.928116133788173,8085.07421875,83.0,947.1192911474706,-3.7062294483184814,24.928116133788173,17.260125875473022,947.1192911474706,0.040320082144656474,0.7225644393735822,0.8276908245764737,-3.7062294483184814,0.2822058106319228,0.48120461204287934,0.5525876686647981
20251210_145152,qwen3:4b,summary,custom,8,50.93363428115845,74.4153172819976,6250.1015625,89.65677966101696,4694.768526870967,-3.810526609420776,74.4153172819976,50.93363428115845,4694.768526870967,0.8578062745107156,0.0,0.0,-3.810526609420776,0.0,0.34312250980428627,0.014995257970193628
20251210_145152,deepseek-r1:8b,code,custom,9,57.87547564506531,18.764462949915124,8085.9140625,93.59469696969695,3084.317326381921,-4.462986469268799,18.764462949915124,57.87547564506531,3084.317326381921,0.15183216647031197,0.9227433202148958,0.9124611526199672,-4.462986469268799,1.0,0.6112942084385837,2.5331962097782084
20251210_145152,gemma3:4b,code,custom,10,16.556578636169434,79.71081041088429,7884.10546875,76.66233766233766,1303.5237610473637,-4.685938835144043,79.71081041088429,16.556578636169434,1303.5237610473637,1.0,1.0,1.0,-4.685938835144043,0.0,1.0,0.9999999999999991
20251210_145152,qwen3:8b,code,custom,11,551.3827855587006,7.854339260194409,8087.82421875,98.47183673469388,21646.418585828305,-4.623388290405273,7.854339260194409,551.3827855587006,21646.418585828305,0.0,0.0,0.0,-4.623388290405273,0.28055564466972505,0.0,0.2876788561086387
20251210_145152,qwen3:4b,code,custom,12,85.44420552253723,69.53598566466385,6231.14453125,90.97979797979798,7776.007406869887,-4.48859453201294,69.53598566466385,85.44420552253723,7776.007406869887,0.8584007176628135,0.8711962390871656,0.6818307472180415,-4.48859453201294,0.8851411033759972,0.8092683829566875,4.459392678448107
20251210_145152,deepseek-r1:8b,creative,custom,13,44.79264259338379,21.0629933141658,8096.08203125,92.7156862745098,2522.6786027927405,,21.0629933141658,44.79264259338379,2522.6786027927405,0.0,0.0,0.0,0.0,1.0,0.0,1.0
20251210_145152,gemma3:4b,creative,custom,14,7.576509475708008,79.90870407194663,7843.08203125,59.31428571428572,463.3215109686852,,79.90870407194663,7.576509475708008,463.3215109686852,1.0,1.0,1.0,0.0,1.0,1.0,100.99999999999991
20251210_145152,qwen3:8b,creative,custom,15,33.761613607406616,23.66466577984624,8100.39453125,88.8051948051948,1962.5203976295004,,23.66466577984624,33.761613607406616,1962.5203976295004,0.0442117604185184,0.2964044907916022,0.27200634964530873,0.0,1.0,0.18820795629848064,1.2290213901935014
20251210_145152,qwen3:4b,creative,custom,16,24.293325662612915,78.25642398264083,6196.53125,86.41592920353982,2156.404157685042,,78.25642398264083,24.293325662612915,2156.404157685042,0.9719218262804765,0.5508180246978625,0.17785863683470007,0.0,1.0,0.6073717289719593,2.5085173413708435
